Name,Year,Globe best film winner,Globe best film nominee,BAFTA best film winner,BAFTA best film nominee,Spirit best film nominee,Spirit best film winner,Critic best film winner,Critic best film nominee,Oscar best film winner,Oscar best film nominee,Director,Globe best director winner,Globe best director nominee,BAFTA best director winner,BAFTA best director nominee,Spirit best director winner,Spirit best director nominee,Oscar best director winner,Oscar best director nominee,Actor,Globe best actor winner,Globe best actor nominee,BAFTA best actor winner,BAFTA best actor nominee,Spirit best actor winner,Spirit best actor nominee,Guild best actor winner,Guild best actor nominee,Oscar best actor winner,Oscar best actor nominee,Actress,Globe best actress winner,Globe best actress nominee,BAFTA best actress winner,BAFTA best actress nominee,Spirit best actress winner,Spirit best actress nominee,Guild best actress winner,Guild best actress nominee,Oscar best actress winner,Oscar best actress nominee
Anatomy of a Murder ,1959,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Diary of Anne Frank ,1959,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nun's Story ,1959,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On the Beach,1959,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stanley Kramer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Spartacus,1960,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Stanley Kubrick,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Laurence Olivier,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Elmer Gantry ,1960,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inherit the Wind,1960,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Spencer Tracy ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Inherit the Wind,1960,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Fredric March,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Inherit the Wind,1960,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Spencer Tracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,
Sons and Lovers ,1960,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunrise at Campobello,1960,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Guns of Navarone ,1961,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Cid,1961,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anthony Mann,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Fanny ,1961,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judgment at Nuremberg ,1961,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splendor in the Grass,1961,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Warren Beatty,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Lawrence of Arabia ,1962,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Chapman Report,1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,George Cukor,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Days of Wine and Roses,1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blake Edwards,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jack Lemmon ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Days of Wine and Roses,1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blake Edwards,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jack Lemmon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,
Freud,1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,John Huston,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Hemingway's Adventures of a Young Man,1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Martin Ritt,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Lisa,1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Longest Day ,1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Miracle Worker,1962,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Arthur Penn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Mutiny on the Bounty ,1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To Kill a Mockingbird ,1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cardinal,1963,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Otto Preminger ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Tom Tryon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
The Cardinal,1963,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Otto Preminger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Tom Tryon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
America America ,1963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Captain Newman, M.D.",1963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Gregory Peck,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
The Caretakers,1963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hall Bartlett,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Cleopatra ,1963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Great Escape,1963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hud,1963,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Martin Ritt ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Paul Newman ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Hud,1963,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Martin Ritt ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Paul Newman,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,
Hud,1963,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Martin Ritt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Paul Newman ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Hud,1963,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Martin Ritt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Paul Newman,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,
Lilies of the Field ,1963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becket ,1964,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Chalk Garden,1964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dear Heart,1964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Night of the Iguana,1964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,John Huston,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Zorba the Greek ,1964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor Zhivago ,1965,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Collector,1965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,William Wyler ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
The Collector,1965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,William Wyler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
The Flight of the Phoenix,1965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Patch of Blue,1965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guy Green,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Sidney Poitier,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Ship of Fools ,1965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Man for All Seasons ,1966,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Born Free,1966,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Professionals,1966,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Richard Brooks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
The Sand Pebbles ,1966,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who's Afraid of Virginia Woolf? ,1966,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Heat of the Night ,1967,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnie and Clyde ,1967,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Far from the Madding Crowd,1967,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Alan Bates,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
