Year,Actor,Name,Globe best actor winner,Globe best actor nominee,BAFTA best actor winner,BAFTA best actor nominee,Spirit best actor winner,Spirit best actor nominee,Guild best actor winner,Guild best actor nominee
1964,Anthony Quinn ,Zorba the Greek,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,Omar Sharif ,Doctor Zhivago,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,Rex Harrison,The Agony and the Ecstasy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,Sidney Poitier,A Patch of Blue,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,Rod Steiger ,The Pawnbroker,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,Oskar Werner ,Ship of Fools,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,Paul Scofield ,A Man for All Seasons,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,Richard Burton ,Who's Afraid of Virginia Woolf?,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,Michael Caine ,Alfie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,Steve McQueen ,The Sand Pebbles,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,Max von Sydow,Hawaii,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,Rod Steiger ,In the Heat of the Night,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,Alan Bates,Far from the Madding Crowd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,Warren Beatty ,Bonnie and Clyde,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,Paul Newman ,Cool Hand Luke,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,Sidney Poitier,In the Heat of the Night,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1967,Spencer Tracy ,Guess Who's Coming to Dinner,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,Peter O'Toole ,The Lion in Winter,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,Alan Arkin ,The Heart Is a Lonely Hunter,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,Alan Bates ,The Fixer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,Tony Curtis,The Boston Strangler,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,Cliff Robertson ,Charly,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,John Wayne ,True Grit,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,Alan Arkin,Popi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,Richard Burton ,Anne of the Thousand Days,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,George C. Scott ,Patton,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,Melvyn Douglas ,I Never Sang for My Father,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,James Earl Jones ,The Great White Hope,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,Jack Nicholson ,Five Easy Pieces,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,Ryan O'Neal ,Love Story,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,Gene Hackman ,The French Connection,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,Peter Finch ,Sunday Bloody Sunday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,Malcolm McDowell,A Clockwork Orange,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,Jack Nicholson,Carnal Knowledge,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,George C. Scott ,The Hospital,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,Marlon Brando ,The Godfather,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,Michael Caine ,Sleuth,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,Laurence Olivier ,Sleuth,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,Al Pacino  (nominated Academy Award for Best Supporting Actor),The Godfather,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,Jon Voight,Deliverance,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,Al Pacino ,Serpico,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,Robert Blake,Electra Glide in Blue,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,Jack Lemmon ,Save the Tiger,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,Steve McQueen,Papillon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,Jack Nicholson ,The Last Detail,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,Jack Nicholson ,Chinatown,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,James Caan,The Gambler,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,Gene Hackman,The Conversation,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1974,Dustin Hoffman ,Lenny,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,Al Pacino ,The Godfather Part II,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,Jack Nicholson ,One Flew Over the Cuckoo's Nest,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,Gene Hackman,French Connection II,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,Al Pacino ,Dog Day Afternoon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,Maximilian Schell ,The Man in the Glass Booth,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,James Whitmore ,"Give 'em Hell, Harry!",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
