Name,Year,Globe best film winner,Globe best film nominee,BAFTA best film winner,BAFTA best film nominee,Spirit best film nominee,Spirit best film winner,Critic best film winner,Critic best film nominee,Oscar best film winner,Oscar best film nominee
Hud,1963,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lilies of the Field ,1963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Becket ,1964,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Chalk Garden,1964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dear Heart,1964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Night of the Iguana,1964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zorba the Greek ,1964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor Zhivago ,1965,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Collector,1965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Flight of the Phoenix,1965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Patch of Blue,1965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ship of Fools ,1965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Man for All Seasons ,1966,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Born Free,1966,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Professionals,1966,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Sand Pebbles ,1966,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Who's Afraid of Virginia Woolf? ,1966,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
In the Heat of the Night ,1967,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonnie and Clyde ,1967,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Far from the Madding Crowd,1967,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guess Who's Coming to Dinner ,1967,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
In Cold Blood,1967,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Lion in Winter ,1968,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charly,1968,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Fixer,1968,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Heart Is a Lonely Hunter,1968,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Shoes of the Fisherman,1968,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anne of the Thousand Days ,1969,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butch Cassidy and the Sundance Kid ,1969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Midnight Cowboy ,1969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Prime of Miss Jean Brodie,1969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"They Shoot Horses, Don't They?",1969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ordinary People ,1980,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Elephant Man ,1980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Ninth Configuration,1980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raging Bull ,1980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Stunt Man,1980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
On Golden Pond ,1981,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The French Lieutenant's Woman,1981,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Prince of the City,1981,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ragtime,1981,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reds ,1981,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E.T. the Extra-Terrestrial ,1982,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Missing ,1982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
An Officer and a Gentleman,1982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sophie's Choice,1982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Verdict ,1982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
