Year,Name,Director,Globe best director winner,Globe best director nominee,BAFTA best director winner,BAFTA best director nominee,Spirit best director winner,Spirit best director nominee
1965,A Patch of Blue,Guy Green,0.0,1.0,0.0,0.0,0.0,0.0
1965,The Sound of Music,Robert Wise ,0.0,1.0,0.0,0.0,0.0,0.0
1966,A Man for All Seasons,Fred Zinnemann ,1.0,1.0,0.0,0.0,0.0,0.0
1966,Alfie,Lewis Gilbert,0.0,1.0,0.0,0.0,0.0,0.0
1966,A Man and a Woman,Claude Lelouch ,0.0,1.0,0.0,0.0,0.0,0.0
1966,The Sand Pebbles,Robert Wise,0.0,1.0,0.0,0.0,0.0,0.0
1966,Who's Afraid of Virginia Woolf?,Mike Nichols ,0.0,1.0,0.0,0.0,0.0,0.0
1967,The Graduate,Mike Nichols ,1.0,1.0,0.0,0.0,0.0,0.0
1967,Bonnie and Clyde,Arthur Penn ,0.0,1.0,0.0,0.0,0.0,0.0
1967,The Fox,Mark Rydell,0.0,1.0,0.0,0.0,0.0,0.0
1967,Guess Who's Coming to Dinner,Stanley Kramer ,0.0,1.0,0.0,0.0,0.0,0.0
1967,In the Heat of the Night,Norman Jewison ,0.0,1.0,0.0,0.0,0.0,0.0
1968,"Rachel, Rachel",Paul Newman §,1.0,1.0,0.0,0.0,0.0,0.0
1968,Funny Girl,William Wyler,0.0,1.0,0.0,0.0,0.0,0.0
1968,The Lion in Winter,Anthony Harvey ,0.0,1.0,0.0,0.0,0.0,0.0
1968,Oliver!,Carol Reed ,0.0,1.0,0.0,0.0,0.0,0.0
1968,Romeo and Juliet,Franco Zeffirelli ,0.0,1.0,0.0,0.0,0.0,0.0
1969,Anne of the Thousand Days,Charles Jarrott §,1.0,1.0,0.0,0.0,0.0,0.0
1969,"Hello, Dolly!",Gene Kelly,0.0,1.0,0.0,0.0,0.0,0.0
1969,Midnight Cowboy,John Schlesinger ,0.0,1.0,0.0,0.0,0.0,0.0
1969,The Secret of Santa Vittoria,Stanley Kramer,0.0,1.0,0.0,0.0,0.0,0.0
1969,"They Shoot Horses, Don't They?",Sydney Pollack ,0.0,1.0,0.0,0.0,0.0,0.0
1970,Love Story,Arthur Hiller ,1.0,1.0,0.0,0.0,0.0,0.0
1970,Five Easy Pieces,Bob Rafelson,0.0,1.0,0.0,0.0,0.0,0.0
1970,M*A*S*H,Robert Altman ,0.0,1.0,0.0,0.0,0.0,0.0
1970,Patton,Franklin J. Schaffner ,0.0,1.0,0.0,0.0,0.0,0.0
1970,Women in Love,Ken Russell ,0.0,1.0,0.0,0.0,0.0,0.0
1971,The French Connection,William Friedkin ,1.0,1.0,0.0,0.0,0.0,0.0
1971,A Clockwork Orange,Stanley Kubrick ,0.0,1.0,0.0,0.0,0.0,0.0
1971,Fiddler on the Roof,Norman Jewison ,0.0,1.0,0.0,0.0,0.0,0.0
1971,The Last Picture Show,Peter Bogdanovich ,0.0,1.0,0.0,0.0,0.0,0.0
1971,Summer of ‘42,Robert Mulligan,0.0,1.0,0.0,0.0,0.0,0.0
1972,The Godfather,Francis Ford Coppola ,1.0,1.0,0.0,0.0,0.0,0.0
1972,Avanti!,Billy Wilder,0.0,1.0,0.0,0.0,0.0,0.0
1972,Cabaret,Bob Fosse ,0.0,1.0,0.0,0.0,0.0,0.0
1972,Deliverance,John Boorman ,0.0,1.0,0.0,0.0,0.0,0.0
1972,Frenzy,Alfred Hitchcock,0.0,1.0,0.0,0.0,0.0,0.0
1973,The Exorcist,William Friedkin ,1.0,1.0,0.0,0.0,0.0,0.0
1973,American Graffiti,George Lucas ,0.0,1.0,0.0,0.0,0.0,0.0
1973,The Day of the Jackal,Fred Zinnemann,0.0,1.0,0.0,1.0,0.0,0.0
1973,Last Tango in Paris,Bernardo Bertolucci ,0.0,1.0,0.0,0.0,0.0,0.0
1973,Paper Moon,Peter Bogdanovich,0.0,1.0,0.0,0.0,0.0,0.0
1974,Chinatown,Roman Polanski ,1.0,1.0,0.0,0.0,0.0,0.0
1974,The Conversation,Francis Ford Coppola,0.0,1.0,0.0,1.0,0.0,0.0
1974,The Godfather Part II,Francis Ford Coppola ,0.0,1.0,0.0,0.0,0.0,0.0
1974,Lenny,Bob Fosse ,0.0,1.0,0.0,0.0,0.0,0.0
1974,A Woman Under the Influence,John Cassavetes ,0.0,1.0,0.0,0.0,0.0,0.0
1975,One Flew Over the Cuckoo's Nest,Miloš Forman ,1.0,1.0,0.0,0.0,0.0,0.0
1975,Barry Lyndon,Stanley Kubrick ,0.0,1.0,0.0,0.0,0.0,0.0
1975,Dog Day Afternoon,Sidney Lumet ,0.0,1.0,0.0,0.0,0.0,0.0
1975,Jaws,Steven Spielberg,0.0,1.0,0.0,1.0,0.0,0.0
1975,Nashville,Robert Altman ,0.0,1.0,0.0,0.0,0.0,0.0
1976,Network,Sidney Lumet ,1.0,1.0,0.0,0.0,0.0,0.0
1976,All the President's Men,Alan J. Pakula ,0.0,1.0,0.0,0.0,0.0,0.0
1976,Bound for Glory,Hal Ashby,0.0,1.0,0.0,0.0,0.0,0.0
1976,Marathon Man,John Schlesinger,0.0,1.0,0.0,0.0,0.0,0.0
1976,Rocky,John G. Avildsen ,0.0,1.0,0.0,0.0,0.0,0.0
1977,The Turning Point,Herbert Ross ,1.0,1.0,0.0,0.0,0.0,0.0
1977,Annie Hall,Woody Allen ,0.0,1.0,0.0,0.0,0.0,0.0
