year,actor,film
1993,Tom Hanks,Philadelphia
1993,Daniel Day-Lewis,In the Name of the Father
1993,Laurence Fishburne,What's Love Got to Do with It
1993,Anthony Hopkins,The Remains of the Day
1993,Liam Neeson,Schindler's List
1994,Tom Hanks,Forrest Gump
1994,Morgan Freeman,The Shawshank Redemption
1994,Nigel Hawthorne,The Madness of King George
1994,Paul Newman,Nobody's Fool
1994,John Travolta,Pulp Fiction
1995,Nicolas Cage,Leaving Las Vegas
1995,Richard Dreyfuss,Mr. Holland's Opus
1995,Anthony Hopkins,Nixon
1995,Sean Penn,Dead Man Walking
1995,Massimo Troisi,Il Postino
1996,Geoffrey Rush,Shine
1996,Tom Cruise,Jerry Maguire
1996,Ralph Fiennes,The English Patient
1996,Woody Harrelson,The People vs. Larry Flynt
1996,Billy Bob Thornton,Sling Blade
1997,Jack Nicholson,As Good as It Gets
1997,Matt Damon,Good Will Hunting
1997,Robert Duvall,The Apostle
1997,Peter Fonda,Ulee's Gold
1997,Dustin Hoffman,Wag the Dog
1998,Roberto Benigni,Life Is Beautiful
1998,Tom Hanks,Saving Private Ryan
1998,Ian McKellen,Gods and Monsters
1998,Nick Nolte,Affliction
1998,Edward Norton,American History X
1999,Kevin Spacey,American Beauty
1999,Russell Crowe,The Insider
1999,Richard Farnsworth,The Straight Story
1999,Sean Penn,Sweet and Lowdown
1999,Denzel Washington,The Hurricane
2000,Russell Crowe,Gladiator
2000,Javier Bardem,Before Night Falls
2000,Tom Hanks,Cast Away
2000,Ed Harris,Pollock
2000,Geoffrey Rush,Quills
2001,Denzel Washington,Training Day
2001,Russell Crowe,A Beautiful Mind
2001,Sean Penn,I Am Sam
2001,Will Smith,Ali
2001,Tom Wilkinson,In the Bedroom
2002,Adrien Brody,The Pianist
2002,Nicolas Cage,Adaptation
2002,Michael Caine,The Quiet American
2002,Daniel Day-Lewis,Gangs of New York
2002,Jack Nicholson,About Schmidt
2003,Sean Penn,Mystic River
2003,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl
2003,Ben Kingsley,House of Sand and Fog
2003,Jude Law,Cold Mountain
2003,Bill Murray,Lost in Translation
2004,Jamie Foxx,Ray
2004,Don Cheadle,Hotel Rwanda
2004,Johnny Depp,Finding Neverland
2004,Leonardo DiCaprio,The Aviator
2004,Clint Eastwood,Million Dollar Baby
2005,Philip Seymour Hoffman,Capote
2005,Terrence Howard,Hustle and Flow
2005,Heath Ledger,Brokeback Mountain
2005,Joaquin Phoenix,Walk the Line
2005,David Strathairn,"Good Night, and Good Luck"
2006,Forest Whitaker,The Last King of Scotland
2006,Leonardo DiCaprio,Blood Diamond
2006,Ryan Gosling,Half Nelson
2006,Peter O'Toole,Venus
2006,Will Smith,The Pursuit of Happyness
2007,Daniel Day-Lewis,There Will Be Blood
2007,George Clooney,Michael Clayton
2007,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street
2007,Tommy Lee Jones,In the Valley of Elah
2007,Viggo Mortensen,Eastern Promises
2008,Sean Penn,Milk
2008,Richard Jenkins,The Visitor
2008,Frank Langella,Frost/Nixon
2008,Brad Pitt,The Curious Case of Benjamin Button
2008,Mickey Rourke,The Wrestler
2009,Jeff Bridges,Crazy Heart
2009,George Clooney,Up in the Air
2009,Colin Firth,A Single Man
2009,Morgan Freeman,Invictus
2009,Jeremy Renner,The Hurt Locker
2010,Colin Firth,The King's Speech
2010,Javier Bardem,Biutiful
2010,Jeff Bridges,True Grit
2010,Jesse Eisenberg,The Social Network
2010,James Franco,127 Hours
2011,Jean Dujardin,The Artist
2011,Demin Bichir,A Better Life
2011,George Clooney,The Descendants
2011,Gary Oldman,Tinker Tailor Soldier Spy
2011,Brad Pitt,Moneyball
2012,Daniel Day-Lewis,Lincoln
2012,Bradley Cooper,Silver Linings Playbook
2012,Hugh Jackman,Les Misrables
2012,Joaquin Phoenix,The Master
2012,Denzel Washington,Flight
2013,Matthew McConaughey,Dallas Buyers Club
2013,Christian Bale,American Hustle
2013,Bruce Dern,Nebraska
2013,Leonardo DiCaprio,The Wolf of Wall Street
2013,Chiwetel Ejiofor,12 Years a Slave
2014,Eddie Redmayne,The Theory of Everything
2014,Steve Carell,Foxcatcher
2014,Bradley Cooper,American Sniper
2014,Benedict Cumberbatch,The Imitation Game
2014,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance)
2015,Leonardo DiCaprio,The Revenant
2015,Bryan Cranston,Trumbo
2015,Matt Damon,The Martian
2015,Michael Fassbender,Steve Jobs
2015,Eddie Redmayne,The Danish Girl
2016,Casey Affleck,Manchester by the Sea
2016,Andrew Garfield,Hacksaw Ridge
2016,Ryan Gosling,La La Land
2016,Viggo Mortensen,Captain Fantastic
2016,Denzel Washington,Fences
