"Year","Actress","Film","Role"
"2000","Ellen Burstyn","Requiem for a Dream","Sara Goldfarb ‡"
"2000","Joan Allen","The Contender","Laine Hanson ‡"
"2000","Sanaa Lathan","Love & Basketball","Monica Wright"
"2000","Laura Linney","You Can Count on Me","Samantha ""Sammy"" Prescott ‡"
"2000","Kelly Macdonald","Two Family House","Mary O'Neary"
"2001","Sissy Spacek","In the Bedroom","Ruth Fowler ‡"
"2001","Kim Dickens","Things Behind the Sun","Sherry"
"2001","Molly Parker","The Center of the World","Florence"
"2001","Tilda Swinton","The Deep End","Margaret Hall"
"2001","Kerry Washington","Lift","Niecy"
"2002","Julianne Moore","Far from Heaven","Cathy Whitaker ‡"
"2002","Jennifer Aniston","The Good Girl","Justine Last"
"2002","Maggie Gyllenhaal","Secretary","Lee Holloway"
"2002","Catherine Keener","Lovely & Amazing","Michelle Marks"
"2002","Parker Posey","Personal Velocity","Greta Herskowitz"
"2003","Charlize Theron","Monster","Aileen Wuornos †"
"2003","Agnes Bruckner","Blue Car","Megan Denning"
"2003","Zooey Deschanel","All the Real Girls","Noel"
"2003","Samantha Morton","In America","Sarah ‡"
"2003","Elisabeth Moss","Virgin","Jessie Reynolds"
"2004","Catalina Sandino Moreno","Maria Full of Grace","María Álvarez ‡"
"2004","Kimberly Elise","Woman Thou Art Loosed","Michelle Jordan"
"2004","Vera Farmiga","Down to the Bone","Irene Morrison"
"2004","Judy Marte","On the Outs","Oz"
"2004","Kyra Sedgwick","Cavedweller","Delia Byrd"
"2005","Felicity Huffman","Transamerica","Bree ‡"
"2005","Dina Korzun","Forty Shades of Blue","Laura"
"2005","Laura Linney","The Squid and the Whale","Joan Berkman"
"2005","S. Epatha Merkerson","Lackawanna Blues","Rachel ""Nanny"" Crosby"
"2005","Cyndi Williams","Room","Julia Barker"
"2006","Shareeka Epps","Half Nelson","Drey"
"2006","Catherine O'Hara","For Your Consideration","Marilyn Hack"
"2006","Elizabeth Reaser","Sweet Land","Young Inge"
"2006","Michelle Williams","Land of Plenty","Lana"
"2006","Robin Wright","Sorry, Haters","Phoebe Torrence"
"2007","Ellen Page","Juno","Juno MacGuff ‡"
"2007","Angelina Jolie","A Mighty Heart","Mariane Pearl"
"2007","Sienna Miller","Interview","Katya"
"2007","Parker Posey","Broken English","Nora Wilder"
"2007","Tang Wei","Lust, Caution","Wong Chia Chi / Mak Tai Tai"
"2008","Melissa Leo","Frozen River","Ray Eddy ‡"
"2008","Summer Bishil","Towelhead","Jasira Maroun"
"2008","Anne Hathaway","Rachel Getting Married","Kym ‡"
"2008","Tarra Riggs","Ballast","Marlee"
"2008","Michelle Williams","Wendy and Lucy","Wendy Carroll"
"2009","Gabourey Sidibe","Precious","Claireece ""Precious"" Jones ‡"
"2009","Maria Bello","Downloading Nancy","Nancy Stockwell"
"2009","Nisreen Faour","Amreeka","Muna Farah"
"2009","Helen Mirren","The Last Station","Sophia Tolstaya ‡"
"2009","Gwyneth Paltrow","Two Lovers","Michelle Rausch"
