"Year","Actress","Character","Film"
"1943","Jennifer Jones †","Bernadette Soubirous","The Song of Bernadette"
"1944","Ingrid Bergman †","Paula Alquist Anton","Gaslight"
"1945","Ingrid Bergman ‡","Sister Mary Benedict","The Bells of St. Mary's"
"1946","Rosalind Russell ‡","Sister Elizabeth Kenny","Sister Kenny"
"1947","Rosalind Russell ‡","Lavinia Mannon","Mourning Becomes Electra"
"1948","Jane Wyman †","Belinda MacDonald","Johnny Belinda"
"1949","Olivia de Havilland †","Catherine Sloper","The Heiress"
