"Year","Actress","Character","Film"
"1995","Nicole Kidman","Suzanne Stone-Maretto","To Die For §"
"1996","Frances McDormand","Marge Gunderson","Fargo"
"1997","Helena Bonham Carter","Kate Croy","The Wings of the Dove"
"1998","Cate Blanchett","Queen Elizabeth I","Elizabeth"
"1999","Hilary Swank","Brandon Teena","Boys Don't Cry"
