Year,Actress,Name,Role
2012,Emayatzy Corinealdi,Middle of Nowhere,Ruby
2012,Quvenzhané Wallis,Beasts of the Southern Wild,Hushpuppy 
2012,Mary Elizabeth Winstead,Smashed,Kate Hannah
2013,Cate Blanchett,Blue Jasmine,"Jeanette ""Jasmine"" Francis "
2013,Julie Delpy,Before Midnight,Céline Wallace
2013,Gaby Hoffmann,Crystal Fairy,Crystal Fairy
2013,Brie Larson,Short Term 12,Grace
2013,Shailene Woodley,The Spectacular Now,Aimee Finecky
2014,Julianne Moore,Still Alice,Dr. Alice Howland 
2014,Marion Cotillard,The Immigrant,Ewa Cybulska
2014,Rinko Kikuchi,Kumiko: The Treasure Hunter,Kumiko
2014,Jenny Slate,Obvious Child,Donna Stern
2014,Tilda Swinton,Only Lovers Left Alive,Eve
2015,Brie Larson,Room,"Joy ""Ma"" Newsome "
2015,Cate Blanchett,Carol,Carol Aird 
2015,Rooney Mara,Carol,Therese Belivet 
2015,Bel Powley,The Diary of a Teenage Girl,Minnie Goetze
2015,Kitana Kiki Rodriguez,Tangerine,Sin-Dee Rella
2016,Isabelle Huppert,Elle,Michèle Leblanc 
2016,Annette Bening,20th Century Women,Dorothea Fields
2016,Sasha Lane,American Honey,Star
2016,Ruth Negga,Loving,Mildred Loving 
2016,Natalie Portman,Jackie,Jacqueline Kennedy Onassis 
1985,Geraldine Page,The Trip to Bountiful,Carrie Watts 
1985,Rosanna Arquette,After Hours,Marcy Franklin
1985,Laura Dern,Smooth Talk,Connie Wyatt
1985,Lori Singer,Trouble in Mind,Georgia
1986,Isabella Rossellini,Blue Velvet,Dorothy Vallens
1986,Elpidia Carrillo,Salvador,María
1986,Patricia Charbonneau,Desert Hearts,Cay Rivvers
1986,Laura Dern,Blue Velvet,Sandy Williams
1986,Tracy Camilla Johns,She's Gotta Have It,Nola Darling
1987,Sally Kirkland,Anna,Anna 
1987,Lillian Gish,The Whales of August,Sarah Webber
1987,Debra Sandlund,Tough Guys Don't Dance,Patty Lareine
1987,Louise Smith,Working Girls,Molly
1987,Joanne Woodward,The Glass Menagerie,Amanda Wingfield
1988,Jodie Foster,Five Corners,Linda
1988,Ricki Lake,Hairspray,Tracy Turnblad
1988,Nobu McCarthy,The Wash,Masi Matsumoto
1988,Julia Roberts,Mystic Pizza,Daisy Arujo
1988,Meg Ryan,Promised Land,Bev Sykes
1989,Andie MacDowell,"Sex, Lies, and Videotape",Ann Bishop Mullany
1989,Youki Kudoh,Mystery Train,Mitsuko
1989,Kelly Lynch,Drugstore Cowboy,Dianne
1989,Winona Ryder,Heathers,Veronica Sawyer
1989,Annabella Sciorra,True Love,Donna
